f_prop,hsev,ys,cat_1,cat_2,cat_3,cat_4,cat_5,cat_2345,cat_1_int,cat_2_int,cat_3_int,cat_4_int,cat_5_int,cat_2345_int,se2,se3,se4,se5,flower_year,idx
0.0109222174495579,1.0,-3,0,0,-1,1,0,0,0,0,-8,5,0,-3,1,1,1,1,2018,61
0.012310639708031099,0.0,-3,0,0,0,0,0,0,0,0,0,-3,0,-3,1,1,1,1,2018,62
0.0165932949542837,-1.0,-3,0,0,0,1,-1,0,0,0,0,5,-8,-3,1,1,1,1,2018,63
-0.0099009900990099,4.0,-3,-1,0,0,0,1,1,-8,0,0,0,5,5,1,1,1,1,2018,65
0.0,3.0,-3,0,-1,0,0,1,0,0,-8,0,0,5,-3,1,1,1,1,2018,66
-0.0056710775047258,2.0,-3,0,0,-1,0,1,0,0,0,-8,0,5,-3,1,1,1,1,2018,67
-0.0042826552462526,1.0,-3,0,0,0,-1,1,0,0,0,0,-8,5,-3,1,1,1,1,2018,68
0.0,0.0,-3,0,0,0,0,0,0,0,0,0,0,-3,-3,1,1,1,1,2018,69
-0.024051925237696,-2.0,-8,1,0,-1,0,0,-1,5,0,-13,0,0,-13,2,2,2,3,2018,83
-0.017298756285934903,-3.0,-8,1,0,0,-1,0,-1,5,0,0,-13,0,-13,2,2,2,3,2018,84
-0.0161897659025312,-4.0,-8,1,0,0,0,-1,-1,5,0,0,0,-13,-13,2,2,2,3,2018,85
-0.032951301708745204,-1.0,-8,0,1,-1,0,0,0,0,5,-13,0,0,-8,2,2,2,3,2018,86
-0.026198132756984103,-2.0,-8,0,1,0,-1,0,0,0,5,0,-13,0,-8,2,2,2,3,2018,87
-0.0250891423735804,-3.0,-8,0,1,0,0,-1,0,0,5,0,0,-13,-8,2,2,2,3,2018,88
-0.0265770355091514,0.0,-8,0,0,0,0,0,0,0,0,-8,0,0,-8,2,2,2,3,2018,89
-0.019823866557390303,-1.0,-8,0,0,1,-1,0,0,0,0,5,-13,0,-8,2,2,2,3,2018,90
-0.0187148761739866,-2.0,-8,0,0,1,0,-1,0,0,0,5,0,-13,-8,2,2,2,3,2018,91
-0.0303560076287349,1.0,-8,0,0,-1,1,0,0,0,0,-13,5,0,-8,2,2,2,3,2018,92
-0.0236028386769738,0.0,-8,0,0,0,0,0,0,0,0,0,-8,0,-8,2,2,2,3,2018,93
-0.0224938482935701,-1.0,-8,0,0,0,1,-1,0,0,0,0,5,-13,-8,2,2,2,3,2018,94
-0.0293847566574839,2.0,-8,0,0,-1,0,1,0,0,0,-13,0,5,-8,2,2,2,3,2018,95
-0.0226315877057228,1.0,-8,0,0,0,-1,1,0,0,0,0,-13,5,-8,2,2,2,3,2018,96
-0.0215225973223191,0.0,-8,0,0,0,0,0,0,0,0,0,0,-8,-8,2,2,2,3,2018,97
0.0137969094922737,-1.0,-8,1,-1,0,0,0,-1,5,-13,0,0,0,-13,2,2,2,3,2018,98
-0.009613743428688499,-2.0,-8,1,0,-1,0,0,-1,5,0,-13,0,0,-13,2,2,2,3,2018,99
-0.008461727678284799,-3.0,-8,1,0,0,-1,0,-1,5,0,0,-13,0,-13,2,2,2,3,2018,100
-0.0017431060477417996,-4.0,-8,1,0,0,0,-1,-1,5,0,0,0,-13,-13,2,2,2,3,2018,101
0.013044767269493,0.0,-8,0,0,0,0,0,0,0,-8,0,0,0,-8,2,2,2,3,2018,102
-0.0103658856514692,-1.0,-8,0,1,-1,0,0,0,0,5,-13,0,0,-8,2,2,2,3,2018,103
-0.0092138699010655,-2.0,-8,0,1,0,-1,0,0,0,5,0,-13,0,-8,2,2,2,3,2018,104
-0.0024952482705225005,-3.0,-8,0,1,0,0,-1,0,0,5,0,0,-13,-8,2,2,2,3,2018,105
0.0120231675654084,1.0,-8,0,-1,1,0,0,0,0,-13,5,0,0,-8,2,2,2,3,2018,106
-0.0113874853555538,0.0,-8,0,0,0,0,0,0,0,0,-8,0,0,-8,2,2,2,3,2018,107
-0.010235469605150099,-1.0,-8,0,0,1,-1,0,0,0,0,5,-13,0,-8,2,2,2,3,2018,108
-0.0035168479746071,-2.0,-8,0,0,1,0,-1,0,0,0,5,0,-13,-8,2,2,2,3,2018,109
0.0154926167998063,2.0,-8,0,-1,0,1,0,0,0,-13,0,5,0,-8,2,2,2,3,2018,110
-0.0079180361211559,1.0,-8,0,0,-1,1,0,0,0,0,-13,5,0,-8,2,2,2,3,2018,111
-0.006766020370752199,0.0,-8,0,0,0,0,0,0,0,0,0,-8,0,-8,2,2,2,3,2018,112
-4.739874020920007e-05,-1.0,-8,0,0,0,1,-1,0,0,0,0,5,-13,-8,2,2,2,3,2018,113
0.0106382978723404,3.0,-8,0,-1,0,0,1,0,0,-13,0,0,5,-8,2,2,2,3,2018,114
-0.0127723550486218,2.0,-8,0,0,-1,0,1,0,0,0,-13,0,5,-8,2,2,2,3,2018,115
-0.0116203392982181,1.0,-8,0,0,0,-1,1,0,0,0,0,-13,5,-8,2,2,2,3,2018,116
-0.004901717667675101,0.0,-8,0,0,0,0,0,0,0,0,0,0,-8,-8,2,2,2,3,2018,117
0.0027124773960217,-1.0,-8,1,-1,0,0,0,-1,5,-13,0,0,0,-13,2,2,2,3,2018,118
-0.0042363539368904,-2.0,-8,1,0,-1,0,0,-1,5,0,-13,0,0,-13,2,2,2,3,2018,119
-0.00017709948736320015,-3.0,-8,1,0,0,-1,0,-1,5,0,0,-13,0,-13,2,2,2,3,2018,120
-0.0022946756798009004,-4.0,-8,1,0,0,0,-1,-1,5,0,0,0,-13,-13,2,2,2,3,2018,121
0.0038265948340969,0.0,-8,0,0,0,0,0,0,0,-8,0,0,0,-8,2,2,2,3,2018,122
-0.0031222364988151997,-1.0,-8,0,1,-1,0,0,0,0,5,-13,0,0,-8,2,2,2,3,2018,123
0.0009370179507120001,-2.0,-8,0,1,0,-1,0,0,0,5,0,-13,0,-8,2,2,2,3,2018,124
-0.0011805582417257002,-3.0,-8,0,1,0,0,-1,0,0,5,0,0,-13,-8,2,2,2,3,2018,125
0.0066745422327229,1.0,-8,0,-1,1,0,0,0,0,-13,5,0,0,-8,2,2,2,3,2018,126
-0.00027428910018919943,0.0,-8,0,0,0,0,0,0,0,0,-8,0,0,-8,2,2,2,3,2018,127
0.0037849653493380003,-1.0,-8,0,0,1,-1,0,0,0,0,5,-13,0,-8,2,2,2,3,2018,128
0.0016673891569003,-2.0,-8,0,0,1,0,-1,0,0,0,5,0,-13,-8,2,2,2,3,2018,129
0.0061287027579162,2.0,-8,0,-1,0,1,0,0,0,-13,0,5,0,-8,2,2,2,3,2018,130
-0.0008201285749958997,1.0,-8,0,0,-1,1,0,0,0,0,-13,5,0,-8,2,2,2,3,2018,131
0.0032391258745313,0.0,-8,0,0,0,0,0,0,0,0,0,-8,0,-8,2,2,2,3,2018,132
0.0011215496820935998,-1.0,-8,0,0,0,1,-1,0,0,0,0,5,-13,-8,2,2,2,3,2018,133
0.0547945205479452,3.0,-8,0,-1,0,0,1,0,0,-13,0,0,5,-8,2,2,2,3,2018,134
0.0478456892150331,2.0,-8,0,0,-1,0,1,0,0,0,-13,0,5,-8,2,2,2,3,2018,135
0.051904943664560305,1.0,-8,0,0,0,-1,1,0,0,0,0,-13,5,-8,2,2,2,3,2018,136
0.049787367472122604,0.0,-8,0,0,0,0,0,0,0,0,0,0,-8,-8,2,2,2,3,2018,137
-0.0047393364928909,-3.0,-8,1,0,0,-1,0,-1,5,0,0,-13,0,-13,2,2,2,3,2018,138
-0.0028701776143863003,-2.0,-8,0,1,0,-1,0,0,0,5,0,-13,0,-8,2,2,2,3,2018,139
-0.0033439876556816002,-1.0,-8,0,0,1,-1,0,0,0,0,5,-13,0,-8,2,2,2,3,2018,140
-0.0017393364928909002,0.0,-8,0,0,0,0,0,0,0,0,0,-8,0,-8,2,2,2,3,2018,141
0.0074487895716946,0.0,-8,0,0,0,0,0,0,-8,0,0,0,0,0,2,3,4,5,2018,142
0.0074487895716946,0.0,-7,0,0,0,0,0,0,-7,0,0,0,0,0,2,3,4,5,2018,143
0.0074487895716946,-1.0,-8,1,-1,0,0,0,-1,5,-13,0,0,0,-13,2,3,4,5,2018,144
0.0052265673494723995,-1.0,-7,1,-1,0,0,0,-1,5,-12,0,0,0,-12,2,3,4,5,2018,145
