nid,gridcell,se
5220,4,gridse4
5221,4,gridse4
5222,4,gridse4
5223,4,gridse4
5224,4,gridse4
5225,3,gridse4
5226,4,gridse4
5227,4,gridse4
5228,4,gridse4
5229,4,gridse4
5235,2,gridse4
5237,4,gridse4
5238,4,gridse4
5239,4,gridse4
5241,4,gridse4
5242,4,gridse4
5243,4,gridse4
5244,4,gridse4
5309,4,gridse4
5312,4,gridse4
5321,4,gridse4
5322,1,gridse4
5323,2,gridse4
5355,1,gridse4
5357,1,gridse4
5360,1,gridse4
5365,4,gridse4
5368,4,gridse4
5369,1,gridse4
5377,2,gridse4
5378,1,gridse4
5387,4,gridse4
5388,4,gridse4
5451,1,gridse4
5454,4,gridse4
5460,4,gridse4
5465,4,gridse4
5472,1,gridse4
5473,4,gridse4
5476,4,gridse4
5477,4,gridse4
5478,1,gridse4
5479,4,gridse4
5480,4,gridse4
5481,2,gridse4
5482,4,gridse4
5484,4,gridse4
5485,4,gridse4
5486,4,gridse4
5487,4,gridse4
5488,4,gridse4
5489,4,gridse4
5491,4,gridse4
5492,4,gridse4
5531,1,gridse4
5542,1,gridse4
5545,1,gridse4
5548,4,gridse4
5550,4,gridse4
5553,1,gridse4
5554,3,gridse4
5555,1,gridse4
5556,2,gridse4
5557,4,gridse4
5558,4,gridse4
5559,4,gridse4
5560,1,gridse4
5565,4,gridse4
5567,4,gridse4
5570,4,gridse4
5572,4,gridse4
5574,4,gridse4
5575,4,gridse4
5581,4,gridse4
5582,4,gridse4
5583,4,gridse4
5584,4,gridse4
5592,3,gridse4
5593,4,gridse4
5594,4,gridse4
5596,4,gridse4
5598,4,gridse4
5600,4,gridse4
5601,4,gridse4
5602,4,gridse4
5603,1,gridse4
5606,4,gridse4
5607,4,gridse4
5608,4,gridse4
5609,3,gridse4
5610,1,gridse4
5616,2,gridse4
5617,1,gridse4
5619,2,gridse4
5622,2,gridse4
5626,4,gridse4
5628,2,gridse4
5751,4,gridse4
5759,4,gridse4
5764,4,gridse4
5773,1,gridse4
5784,3,gridse4
5791,1,gridse4
5792,3,gridse4
5812,1,gridse4
5814,4,gridse4
5941,2,gridse4
5942,1,gridse4
5943,4,gridse4
5944,1,gridse4
5945,4,gridse4
5947,4,gridse4
5948,1,gridse4
5949,4,gridse4
5950,1,gridse4
5953,3,gridse4
5956,4,gridse4
5957,4,gridse4
5958,4,gridse4
5959,4,gridse4
5963,2,gridse4
5969,1,gridse4
5972,3,gridse4
5973,1,gridse4
5974,4,gridse4
5976,2,gridse4
5980,4,gridse4
5982,4,gridse4
5983,4,gridse4
6002,4,gridse4
6004,4,gridse4
6005,1,gridse4
6010,1,gridse4
6136,1,gridse4
6137,4,gridse4
6140,2,gridse4
6141,1,gridse4
6143,4,gridse4
6144,4,gridse4
6146,4,gridse4
6147,4,gridse4
6148,4,gridse4
6149,4,gridse4
6151,4,gridse4
6153,4,gridse4
6154,4,gridse4
6190,4,gridse4
6192,4,gridse4
6193,4,gridse4
6194,4,gridse4
6199,4,gridse4
6200,4,gridse4
6287,4,gridse4
6334,4,gridse4
6356,4,gridse4
6369,1,gridse4
6371,4,gridse4
6372,4,gridse4
6373,4,gridse4
6374,4,gridse4
6375,3,gridse4
6376,3,gridse4
6377,4,gridse4
6378,4,gridse4
6379,4,gridse4
6380,4,gridse4
6381,4,gridse4
6382,4,gridse4
6383,4,gridse4
6384,4,gridse4
6385,4,gridse4
6386,4,gridse4
6387,4,gridse4
6392,4,gridse4
6395,4,gridse4
6400,4,gridse4
6401,4,gridse4
6403,4,gridse4
6404,4,gridse4
6405,3,gridse4
6406,4,gridse4
6408,4,gridse4
6409,4,gridse4
6410,4,gridse4
6411,4,gridse4
6412,4,gridse4
6413,4,gridse4
6414,4,gridse4
6416,1,gridse4
6417,2,gridse4
6418,2,gridse4
6419,3,gridse4
6420,3,gridse4
6422,1,gridse4
6426,4,gridse4
6427,4,gridse4
6429,4,gridse4
0,1,gridse5
88,5,gridse5
93,5,gridse5
94,5,gridse5
96,5,gridse5
139,5,gridse5
155,1,gridse5
176,4,gridse5
229,2,gridse5
235,2,gridse5
237,1,gridse5
239,1,gridse5
242,1,gridse5
243,1,gridse5
244,5,gridse5
245,3,gridse5
246,5,gridse5
247,5,gridse5
255,5,gridse5
259,5,gridse5
272,5,gridse5
276,5,gridse5
278,5,gridse5
322,5,gridse5
324,5,gridse5
326,5,gridse5
327,2,gridse5
329,5,gridse5
334,1,gridse5
335,5,gridse5
336,5,gridse5
337,1,gridse5
338,5,gridse5
349,3,gridse5
350,5,gridse5
353,5,gridse5
355,1,gridse5
356,5,gridse5
358,2,gridse5
366,5,gridse5
367,5,gridse5
368,5,gridse5
373,3,gridse5
378,1,gridse5
379,4,gridse5
437,1,gridse5
438,2,gridse5
439,5,gridse5
445,1,gridse5
451,1,gridse5
458,1,gridse5
468,4,gridse5
470,5,gridse5
471,5,gridse5
475,5,gridse5
597,2,gridse5
603,5,gridse5
604,5,gridse5
609,5,gridse5
613,5,gridse5
615,5,gridse5
620,4,gridse5
621,1,gridse5
626,1,gridse5
627,5,gridse5
628,5,gridse5
629,5,gridse5
630,2,gridse5
635,5,gridse5
636,3,gridse5
638,5,gridse5
640,3,gridse5
643,5,gridse5
646,5,gridse5
648,5,gridse5
652,5,gridse5
653,5,gridse5
654,5,gridse5
655,5,gridse5
656,5,gridse5
657,5,gridse5
658,5,gridse5
789,5,gridse5
899,1,gridse5
908,5,gridse5
916,1,gridse5
922,5,gridse5
927,5,gridse5
934,5,gridse5
955,3,gridse5
956,1,gridse5
960,1,gridse5
961,1,gridse5
963,4,gridse5
964,5,gridse5
965,5,gridse5
968,5,gridse5
2131,5,gridse5
2143,5,gridse5
2144,2,gridse5
2145,5,gridse5
2147,5,gridse5
2148,1,gridse5
2150,5,gridse5
2151,3,gridse5
2153,5,gridse5
2154,2,gridse5
2155,1,gridse5
2156,5,gridse5
2158,3,gridse5
2159,5,gridse5
2161,5,gridse5
2164,2,gridse5
2165,2,gridse5
2166,3,gridse5
2359,5,gridse5
2360,1,gridse5
2361,5,gridse5
2364,4,gridse5
2370,5,gridse5
2373,5,gridse5
2374,5,gridse5
2378,5,gridse5
2379,5,gridse5
2380,5,gridse5
2383,5,gridse5
2384,5,gridse5
2387,5,gridse5
2388,5,gridse5
2423,1,gridse5
2425,5,gridse5
2426,2,gridse5
2428,1,gridse5
2431,5,gridse5
2433,4,gridse5
2439,3,gridse5
2440,5,gridse5
2441,1,gridse5
2442,5,gridse5
2443,5,gridse5
2541,5,gridse5
2542,5,gridse5
2553,5,gridse5
2566,4,gridse5
2568,4,gridse5
2569,1,gridse5
2570,5,gridse5
2752,5,gridse5
2755,5,gridse5
2757,5,gridse5
2762,2,gridse5
2763,5,gridse5
2764,5,gridse5
2767,2,gridse5
2772,5,gridse5
2773,5,gridse5
2802,5,gridse5
2803,5,gridse5
2810,1,gridse5
2817,2,gridse5
2818,2,gridse5
2842,1,gridse5
2945,5,gridse5
2948,5,gridse5
2954,5,gridse5
3027,2,gridse5
3030,1,gridse5
3322,5,gridse5
3669,5,gridse5
3670,5,gridse5
3719,3,gridse5
3721,5,gridse5
3735,1,gridse5
3737,3,gridse5
3738,5,gridse5
3739,5,gridse5
3753,5,gridse5
3762,3,gridse5
3767,1,gridse5
3769,5,gridse5
3773,1,gridse5
3786,1,gridse5
3797,1,gridse5
3798,1,gridse5
3800,5,gridse5
3801,5,gridse5
3802,5,gridse5
3803,5,gridse5
3804,1,gridse5
3805,4,gridse5
3806,5,gridse5
3808,1,gridse5
3810,3,gridse5
3817,5,gridse5
3818,2,gridse5
3974,2,gridse5
3976,5,gridse5
3977,5,gridse5
3983,1,gridse5
3984,2,gridse5
3985,2,gridse5
3986,2,gridse5
3995,5,gridse5
4117,5,gridse5
4118,1,gridse5
4119,2,gridse5
4121,5,gridse5
4124,5,gridse5
4130,2,gridse5
4134,5,gridse5
4141,5,gridse5
4169,3,gridse5
4183,2,gridse5
4193,4,gridse5
4243,1,gridse5
4247,5,gridse5
4250,2,gridse5
4251,1,gridse5
4253,5,gridse5
4254,1,gridse5
4258,5,gridse5
4259,3,gridse5
4260,1,gridse5
4261,2,gridse5
4262,5,gridse5
4263,4,gridse5
4276,5,gridse5
4277,2,gridse5
4364,1,gridse5
4365,5,gridse5
4366,5,gridse5
4368,5,gridse5
4370,5,gridse5
4378,5,gridse5
4379,3,gridse5
4380,5,gridse5
4385,5,gridse5
4386,5,gridse5
4388,1,gridse5
4389,5,gridse5
4390,2,gridse5
4394,5,gridse5
4395,5,gridse5
4396,5,gridse5
4397,5,gridse5
4398,5,gridse5
4404,5,gridse5
4439,1,gridse5
4441,1,gridse5
4443,1,gridse5
4444,5,gridse5
4447,5,gridse5
4448,5,gridse5
4449,5,gridse5
4450,5,gridse5
4452,5,gridse5
4455,5,gridse5
4458,5,gridse5
4466,5,gridse5
4477,5,gridse5
4478,1,gridse5
4481,1,gridse5
4484,2,gridse5
4490,5,gridse5
4491,5,gridse5
4493,5,gridse5
4494,5,gridse5
4500,4,gridse5
4501,4,gridse5
4502,5,gridse5
4503,5,gridse5
4504,5,gridse5
4506,5,gridse5
4512,5,gridse5
4513,5,gridse5
4514,5,gridse5
4517,5,gridse5
4532,5,gridse5
4534,5,gridse5
4538,5,gridse5
4541,5,gridse5
4542,5,gridse5
4545,5,gridse5
4550,5,gridse5
4551,1,gridse5
4552,5,gridse5
4554,1,gridse5
4579,5,gridse5
4737,4,gridse5
4745,2,gridse5
4746,5,gridse5
4749,1,gridse5
4753,5,gridse5
4754,1,gridse5
4755,4,gridse5
4756,4,gridse5
4757,5,gridse5
4758,4,gridse5
4759,5,gridse5
4760,5,gridse5
4765,5,gridse5
4766,5,gridse5
4767,1,gridse5
4768,2,gridse5
4769,5,gridse5
4770,5,gridse5
4775,5,gridse5
4777,5,gridse5
4791,5,gridse5
4953,5,gridse5
4957,4,gridse5
4958,4,gridse5
4959,1,gridse5
4961,1,gridse5
4962,1,gridse5
4964,5,gridse5
4965,5,gridse5
4969,1,gridse5
4972,1,gridse5
4973,1,gridse5
4974,5,gridse5
4980,5,gridse5
4981,5,gridse5
4982,5,gridse5
4985,5,gridse5
4986,5,gridse5
4989,5,gridse5
4992,5,gridse5
5010,2,gridse5
5046,5,gridse5
5057,5,gridse5
5058,5,gridse5
5061,5,gridse5
5064,2,gridse5
5094,5,gridse5
5185,1,gridse5
5186,3,gridse5
5192,5,gridse5
5193,5,gridse5
5195,5,gridse5
5199,5,gridse5
5200,5,gridse5
5203,5,gridse5
5204,5,gridse5
5220,5,gridse5
5221,5,gridse5
5222,5,gridse5
5223,5,gridse5
5224,5,gridse5
5225,4,gridse5
5226,5,gridse5
5227,5,gridse5
5228,5,gridse5
5229,5,gridse5
5235,2,gridse5
5237,4,gridse5
5238,5,gridse5
5239,5,gridse5
5241,5,gridse5
5242,5,gridse5
5243,5,gridse5
5244,5,gridse5
5309,5,gridse5
5312,5,gridse5
5321,4,gridse5
5322,1,gridse5
5323,2,gridse5
5355,1,gridse5
5357,1,gridse5
5360,2,gridse5
5365,5,gridse5
5368,4,gridse5
5369,1,gridse5
5377,2,gridse5
5378,2,gridse5
5387,5,gridse5
5388,5,gridse5
5451,1,gridse5
5454,5,gridse5
5460,5,gridse5
5465,5,gridse5
5472,1,gridse5
5473,5,gridse5
5476,5,gridse5
5477,5,gridse5
5478,1,gridse5
5479,5,gridse5
5480,5,gridse5
5481,3,gridse5
5482,5,gridse5
5484,5,gridse5
5485,5,gridse5
5486,5,gridse5
5487,5,gridse5
5488,5,gridse5
5489,5,gridse5
5491,5,gridse5
5492,5,gridse5
5531,1,gridse5
5542,1,gridse5
5545,1,gridse5
5548,5,gridse5
5550,5,gridse5
5553,1,gridse5
5554,4,gridse5
5555,1,gridse5
5556,2,gridse5
5557,5,gridse5
5558,5,gridse5
5559,5,gridse5
5560,1,gridse5
5565,5,gridse5
5567,5,gridse5
5570,5,gridse5
5572,5,gridse5
5574,5,gridse5
5575,5,gridse5
5581,5,gridse5
5582,5,gridse5
5583,5,gridse5
5584,5,gridse5
5592,3,gridse5
5593,5,gridse5
5594,5,gridse5
5596,5,gridse5
5598,5,gridse5
5600,5,gridse5
5601,5,gridse5
5602,5,gridse5
5603,1,gridse5
5606,5,gridse5
5607,5,gridse5
5608,5,gridse5
5609,4,gridse5
5610,2,gridse5
5616,2,gridse5
5617,1,gridse5
5619,3,gridse5
5622,2,gridse5
5626,5,gridse5
5628,3,gridse5
5751,5,gridse5
5759,5,gridse5
5764,5,gridse5
5773,1,gridse5
5784,3,gridse5
5791,1,gridse5
5792,3,gridse5
5812,1,gridse5
5814,5,gridse5
5941,2,gridse5
5942,1,gridse5
5943,4,gridse5
5944,1,gridse5
5945,5,gridse5
5947,5,gridse5
5948,1,gridse5
5949,5,gridse5
5950,2,gridse5
5953,4,gridse5
5956,5,gridse5
5957,5,gridse5
5958,5,gridse5
5959,5,gridse5
5963,2,gridse5
5969,1,gridse5
5972,4,gridse5
5973,1,gridse5
5974,5,gridse5
5976,2,gridse5
5980,5,gridse5
5982,5,gridse5
5983,5,gridse5
6002,5,gridse5
6004,5,gridse5
6005,1,gridse5
6010,1,gridse5
6136,1,gridse5
6137,5,gridse5
6140,3,gridse5
6141,1,gridse5
6143,5,gridse5
6144,5,gridse5
6146,5,gridse5
6147,5,gridse5
6148,5,gridse5
6149,5,gridse5
6151,5,gridse5
6153,5,gridse5
6154,5,gridse5
6190,5,gridse5
6192,5,gridse5
6193,5,gridse5
6194,5,gridse5
6199,5,gridse5
6200,5,gridse5
6287,5,gridse5
6334,5,gridse5
6356,5,gridse5
6369,2,gridse5
6371,5,gridse5
6372,5,gridse5
6373,5,gridse5
6374,5,gridse5
6375,3,gridse5
6376,4,gridse5
6377,5,gridse5
6378,5,gridse5
6379,5,gridse5
6380,5,gridse5
6381,5,gridse5
6382,5,gridse5
6383,5,gridse5
6384,5,gridse5
6385,5,gridse5
6386,5,gridse5
6387,5,gridse5
6392,5,gridse5
6395,5,gridse5
6400,5,gridse5
6401,5,gridse5
6403,5,gridse5
6404,5,gridse5
6405,4,gridse5
6406,4,gridse5
6408,5,gridse5
6409,5,gridse5
6410,5,gridse5
6411,5,gridse5
6412,5,gridse5
6413,5,gridse5
6414,5,gridse5
6416,1,gridse5
6417,3,gridse5
6418,3,gridse5
6419,4,gridse5
6420,4,gridse5
6422,1,gridse5
6426,5,gridse5
6427,5,gridse5
6429,5,gridse5
