nid,gridcell,se
4737,2,gridse2
4745,1,gridse2
4746,2,gridse2
4749,1,gridse2
4753,2,gridse2
4754,1,gridse2
4755,2,gridse2
4756,2,gridse2
4757,2,gridse2
4758,2,gridse2
4759,2,gridse2
4760,2,gridse2
4765,2,gridse2
4766,2,gridse2
4767,1,gridse2
4768,1,gridse2
4769,2,gridse2
4770,2,gridse2
4775,2,gridse2
4777,2,gridse2
4791,2,gridse2
4953,2,gridse2
4957,2,gridse2
4958,2,gridse2
4959,1,gridse2
4961,1,gridse2
4962,1,gridse2
4964,2,gridse2
4965,2,gridse2
4969,1,gridse2
4972,1,gridse2
4973,1,gridse2
4974,2,gridse2
4980,2,gridse2
4981,2,gridse2
4982,2,gridse2
4985,2,gridse2
4986,2,gridse2
4989,2,gridse2
4992,2,gridse2
5010,1,gridse2
5046,2,gridse2
5057,2,gridse2
5058,2,gridse2
5061,2,gridse2
5064,1,gridse2
5094,2,gridse2
5185,1,gridse2
5186,2,gridse2
5192,2,gridse2
5193,2,gridse2
5195,2,gridse2
5199,2,gridse2
5200,2,gridse2
5203,2,gridse2
5204,2,gridse2
5220,2,gridse2
5221,2,gridse2
5222,2,gridse2
5223,2,gridse2
5224,2,gridse2
5225,2,gridse2
5226,2,gridse2
5227,2,gridse2
5228,2,gridse2
5229,2,gridse2
5235,1,gridse2
5237,2,gridse2
5238,2,gridse2
5239,2,gridse2
5241,2,gridse2
5242,2,gridse2
5243,2,gridse2
5244,2,gridse2
5309,2,gridse2
5312,2,gridse2
5321,2,gridse2
5322,1,gridse2
5323,1,gridse2
5355,1,gridse2
5357,1,gridse2
5360,1,gridse2
5365,2,gridse2
5368,2,gridse2
5369,1,gridse2
5377,1,gridse2
5378,1,gridse2
5387,2,gridse2
5388,2,gridse2
5451,1,gridse2
5454,2,gridse2
5460,2,gridse2
5465,2,gridse2
5472,1,gridse2
5473,2,gridse2
5476,2,gridse2
5477,2,gridse2
5478,1,gridse2
5479,2,gridse2
5480,2,gridse2
5481,2,gridse2
5482,2,gridse2
5484,2,gridse2
5485,2,gridse2
5486,2,gridse2
5487,2,gridse2
5488,2,gridse2
5489,2,gridse2
5491,2,gridse2
5492,2,gridse2
5531,1,gridse2
5542,1,gridse2
5545,1,gridse2
5548,2,gridse2
5550,2,gridse2
5553,1,gridse2
5554,2,gridse2
5555,1,gridse2
5556,1,gridse2
5557,2,gridse2
5558,2,gridse2
5559,2,gridse2
5560,1,gridse2
5565,2,gridse2
5567,2,gridse2
5570,2,gridse2
5572,2,gridse2
5574,2,gridse2
5575,2,gridse2
5581,2,gridse2
5582,2,gridse2
5583,2,gridse2
5584,2,gridse2
5592,2,gridse2
5593,2,gridse2
5594,2,gridse2
5596,2,gridse2
5598,2,gridse2
5600,2,gridse2
5601,2,gridse2
5602,2,gridse2
5603,1,gridse2
5606,2,gridse2
5607,2,gridse2
5608,2,gridse2
5609,2,gridse2
5610,1,gridse2
5616,1,gridse2
5617,1,gridse2
5619,1,gridse2
5622,1,gridse2
5626,2,gridse2
5628,2,gridse2
5751,2,gridse2
5759,2,gridse2
5764,2,gridse2
5773,1,gridse2
5784,2,gridse2
5791,1,gridse2
5792,2,gridse2
5812,1,gridse2
5814,2,gridse2
5941,1,gridse2
5942,1,gridse2
5943,2,gridse2
5944,1,gridse2
5945,2,gridse2
5947,2,gridse2
5948,1,gridse2
5949,2,gridse2
5950,1,gridse2
5953,2,gridse2
5956,2,gridse2
5957,2,gridse2
5958,2,gridse2
5959,2,gridse2
5963,1,gridse2
5969,1,gridse2
5972,2,gridse2
5973,1,gridse2
5974,2,gridse2
5976,1,gridse2
5980,2,gridse2
5982,2,gridse2
5983,2,gridse2
6002,2,gridse2
6004,2,gridse2
6005,1,gridse2
6010,1,gridse2
6136,1,gridse2
6137,2,gridse2
6140,1,gridse2
